Height,Weight
65.78331,112.9925
71.51521,136.4873
69.39874,153.0269
68.2166,142.3354
67.78781,144.2971
68.69784,123.3024
69.80204,141.4947
70.01472,136.4623
67.90265,112.3723
66.78236,120.6672
66.48769,127.4516
67.62333000000001,114.14299999999999
68.30248,125.6107
67.11655999999999,122.4618
68.27967,116.0866
71.0916,139.9975
66.461,129.5023
68.64927,142.9733
71.23033000000001,137.9025
67.13118,124.0449
67.83379000000001,141.2807
68.87881,143.5392
63.48115,97.90191
68.42187,129.5027
67.62804,141.8501
67.20864,129.7244
70.84235,142.4235
67.49434000000001,131.5502
66.53401,108.3324
65.44098000000001,113.8922
69.5233,103.3016
65.8132,120.7536
67.8163,125.7886
70.59505,136.2225
71.80484,140.1015
69.20613,128.7487
66.80368,141.7994
67.65893,121.2319
67.80700999999999,131.3478
64.04535,106.7115
68.57463,124.3598
65.18356999999999,124.8591
69.65814,139.6711
67.96731,137.3696
65.98088,106.4499
68.67249,128.7639
66.88088,145.6837
67.69868000000001,116.819
69.82117,143.6215
69.08816999999999,134.9325
69.91479,147.0219
67.33182,126.3285
70.26939,125.4839
69.10344,115.7084
65.38356,123.4892
70.18446999999999,147.8926
70.40616999999999,155.8987
66.54375999999999,128.0742
66.36418,119.3701
67.53699999999999,133.8148
66.50418,128.7325
68.99958000000001,137.5453
68.30355,129.7604
67.01255,128.82399999999998
70.80592,135.3165
68.21951,109.6113
69.05914,142.4684
67.73103,132.749
67.21568,103.5275
67.36763,124.7299
65.27033,129.3137
70.84278,134.0175
69.92442,140.3969
64.28508000000001,102.8351
68.2452,128.5214
66.35708000000001,120.2991
68.36275,138.6036
65.4769,132.9574
69.71947,115.6233
67.72554000000001,122.524
68.63941,134.6254
66.78405,121.8986
70.05147,155.3767
66.27848,128.9418
69.20198,129.1013
69.13481,139.4733
67.36435999999999,140.8901
70.09297,131.5916
70.1766,121.1232
68.22556,131.5127
68.12931999999999,136.5479
70.24256,141.4896
71.48751999999999,140.6104
69.20477,112.1413
70.06306,133.457
70.55703000000001,131.8001
66.28644,120.0285
63.42576999999999,123.0972
66.76711,128.1432
68.88741,115.4759
64.87434,102.0927
67.09272,130.35299999999998
68.34761,134.1842
65.61073,98.64133000000001
67.75551,114.5599
68.0212,123.4917
67.66193,123.04799999999999
66.3146,126.4772
69.43706,128.417
63.836240000000004,127.1941
67.72277,122.0562
70.05098000000001,127.6064
70.18602,131.6423
65.94588,111.8955
70.007,122.039
68.61129,128.5547
68.80816999999999,132.6792
69.76212,136.0632
65.45539000000001,115.9403
68.82534,136.9041
65.8003,119.8804
67.21474,109.0055
69.42021,128.2705
68.94396,135.2913
67.9415,106.8558
65.62505999999999,123.2939
66.49606999999999,109.5143
67.92809,119.3087
68.89415,140.2402
70.241,133.9841
68.26623000000001,132.5807
71.23161,130.6988
69.09747,115.5637
64.39693,123.7941
71.09585,128.1427
68.21868,135.9646
65.91721,116.6273
67.4369,126.8241
73.90106999999999,151.3913
69.98149000000001,130.4022
69.51862,136.2068
65.18437,113.3989
68.00869,125.3287
68.3384,127.5846
65.18417,107.1564
68.26209,116.4588
68.56865,133.8402
64.49675,112.8901
68.71053,130.7568
68.89148,137.7571
69.54011,125.4036
67.39964,138.4659
66.47521,120.8184
66.01217,140.1539
72.44434,136.7397
64.12642,106.1139
70.98111999999999,158.9562
67.50124,108.7868
72.01515,138.7758
65.31143,115.9136
67.07509,146.2922
64.39148,109.8765
69.37003,139.0499
68.37921,119.9001
65.31018,128.3069
67.1369,127.2428
68.39468000000001,115.2306
66.2918,124.7975
67.1866,126.9511
65.99155999999999,111.2711
69.43393,122.6089
67.97463,124.2084
67.76133,124.6453
65.27864,119.5169
73.83364,139.2983
66.81312,104.8265
66.89411,123.0424
65.73568,118.8923
65.98283,121.4939
66.58396,119.2488
67.11294000000001,135.0239
65.87481,116.228
66.78067,109.1731
68.73577,124.2237
66.22666,141.1645
65.95968,129.1501
68.58372,127.8693
66.59347,120.9244
66.96574,127.6466
68.08015,101.4693
70.19025,144.9927
65.52149,110.9523
67.45905,132.8625
67.40985,146.3385
69.66158,145.5894
65.79799,120.8431
66.10558,115.7813
68.23987,128.3019
68.02403000000001,127.4718
71.39044,127.8761
65.7316,121.4997
66.43358,112.7148
70.01309,135.002
69.48146,128.6789
68.62764,124.4062
68.36275,140.026
68.39028,117.51899999999999
68.77413,143.8737
69.9236,141.1703
71.55542,155.9414
68.44764,134.0093
66.71398,130.0975
66.68413000000001,106.2265
67.93699000000001,112.0489
68.89855,136.1884
67.29191,131.236
69.57212,131.3231
67.67479,119.5261
69.04155,116.9965
67.96765,138.5255
65.83981999999999,109.6518
65.77288,130.1569
71.14106,137.1114
67.83055,113.759
65.0693,114.9725
69.70745,127.7149
69.92983000000001,121.9972
66.11569,117.9607
68.61364,127.7141
68.9976,117.9619
66.79171,125.1554
68.02363000000001,141.1026
69.67258000000001,145.4822
71.82178,116.065
72.74676,135.7458
67.27951,132.9248
67.41015,115.6622
68.5315,114.3184
68.47126,148.952
68.51867,142.1878
63.72529,134.10399999999998
67.70483,141.8926
69.47115,138.7444
66.70198,134.44899999999998
65.23125999999999,117.0167
69.89473000000001,115.6752
69.83048000000001,134.7905
65.3979,120.5746
68.32214,120.0835
70.09805,138.9394
66.05530999999999,143.5245
68.23481,123.1347
65.21758,115.5261
69.16173,120.9844
67.60064,120.6473
67.28621,124.0352
66.84323,117.2238
68.08281,127.9598
66.56991,116.7527
70.16973,121.9957
67.85113,123.9952
66.62309,108.855
63.688159999999996,104.6574
68.0356,132.248
66.941,127.1834
66.26292,125.1209
70.7301,133.322
70.70844,122.3364
73.26872,130.2636
63.790209999999995,116.7431
67.84109000000001,125.8534
67.78058,100.62700000000001
67.23901,118.4945
66.75701,137.1255
69.03098,118.6991
68.52651999999999,124.1641
64.65419,124.9442
65.14295,126.3889
66.74124,121.5255
66.99923000000001,133.2951
70.26611,127.4072
72.32489,168.229
70.37159,127.6446
65.72927,131.8008
66.49627,122.8561
70.81339,140.2133
67.37579000000001,142.6929
67.79709,137.4299
68.1607,126.0392
68.85781999999999,143.5985
65.64636,131.4693
65.34105,129.5167
68.18299,125.7451
70.65924,153.1384
65.94400999999999,124.5559
69.62791999999999,134.8225
68.29965,115.3877
70.06075,117.9618
68.43602,124.5647
69.27011999999999,134.4043
67.70510999999999,129.3092
70.89315,133.1423
70.54313,147.3609
71.58086,155.0132
68.42300999999999,126.2905
69.35781,134.4605
70.445,134.0296
67.38153,128.9248
67.50766999999999,123.0543
68.52054,112.1788
66.80858,111.7443
72.38532,148.4615
68.51642,136.7459
70.79791,133.2068
66.21905,116.8855
68.31166999999999,124.8542
67.1715,121.5809
67.7714,123.197
67.47328,137.1255
67.77463,121.4941
69.20099,150.9398
70.04297,142.3009
70.56979,134.7527
66.45379,133.5585
67.68132,136.0895
65.75638000000001,95.20215999999999
69.3549,119.7404
70.5902,152.9146
67.27626,140.1991
68.48853000000001,145.2503
67.02188000000001,119.4855
65.77613000000001,123.512
65.96579,110.6754
68.18868,111.4951
72.08595,139.4849
66.85358000000001,133.088
